predicted,sentiment,text
positive,positive,любимый реклама зима #билайн http://tco/a49t3ga39u 
negative,positive, @iamstinger: apple обновлять раздел lte у ipad - теперь там билайн и мтс http://tco/ujw2q4cbmo @_abloud 
negative,negative,помечать себя где-нибудь: #beeline - это хреновый интернет и отвратительный работа с клиент никогда не связываться с этот шайка 
negative,negative, @fyodorrrrr: помечать себя где-нибудь: #beeline - это хреновый интернет и отвратительный работа с клиент никогда не связываться с э 
negative,positive,отвратительный организация поддержка абонент у @ru_mts в 0890 не дозваниваться онлайн-чат в отличие от @beeline_rus на сайт нет 
negative,negative,объяснять я #билайн почему я каждый раз при подключение услуга продлять скорость должный звонить оператор и выяснять почему она не подключать 
negative,negative,@beeline_rus вы по какой право подключать автопродление скорость доппакет 200 мб  тем у кто даже опция безлимит не подключать 
negative,negative,@fima_psuchopadt билайн еще этот ублюдочный 
positive,positive, @bloustiltburkre: # @ksenomorphine: билайн включать lte для владелец iphone #читаювзаимно 
negative,negative,билайн снимать с я очередной сумма -77 рубль вы охуенный компания связь ловить в лес в город ниховать и деньги ниховать 
negative,negative,для кто билайн делать личный кабинет если там вот такой понимать как хотеть @beeline_rus http://tco/8hkbutsvbe 
positive,positive,абонент билайн тв получать доступ ко весь канал (исключение: канал эротический содержание) из любой тематич http://tco/t6wwaaansq 
negative,negative,@beeline_rus вы охренеличто со связьюкаждый раз прерываетсясело кубабаксанский районкбр 
negative,negative,@latent_pickuper нет ты чо у мегафон хороший интернет у я друг с билайн и мтс переходить а я игра престол смотреть через мобильный 
positive,negative,сбой в сеть сотовый связь билайн происходить на север москва 
negative,negative,@beeline_rus сегодня в уфа часто пропадать сеть 
negative,negative,@beeline_rus помехисвязь прерываетсян слышно другой абонент 
negative,negative, @sergo_st: #билайн становиться такой гавно что пиздец 
negative,negative,@beeline_rus сказать бы сразу что не мочь помогать оперативно и как можно скоро я бы еще неделя назад приобретать другой модем 
negative,negative,@beeline_rus вернуть на счет деньгисписывать 90рна номер 89674127274 
negative,negative,билайн что с ты собираться два неделя мобильный интернет работать как гавно 
negative,negative,здравствовать @gartel_ru ) как я быстро переводить номер мама обратно в @beeline_rus  на почта вы не отвечать а ваш коллцентр я посылать 
negative,negative,@beeline_rus написать местный связь но за звонок другой оператор снимать деньги а не минута как понимать http://tco/vclhm5abwe 
positive,positive,вымпелком в 6 раз снижать тариф на международный интернет-роуминг - http://tco/ooazwgqpw7 
positive,negative, @bipapinyav: за билайн надо следить как за крыса в клетка на ход подметка резать чуть зазевываться — убирать тариф в архив и задер 
negative,positive,билайн снижать цена на мобильный интернет в европа и снг http://tco/ovl5tr3y9x 
negative,negative,@kokurish у весь друг кто на билайн такой фигня заебывать 
negative,positive,@katrinaotradnay потому что надо быть #билайн брать) 
negative,negative,@beeline_rus обращаться но вы бездействовать надоедать ждать и слушать ваш извинение 
negative,negative, @ikygawome: народ аккуратно на билайновский номер похоже наседать мошенник звонить расказывать технический бред чтоб сбивать с толк 
negative,negative,в салон девушка посылать справочный нифиг объяснять не мочь на сайт нет инф ау-у-у  #beeline #новосибирск 
negative,negative, @eldarmurtazin: этот отчетный-выборный речь билайн звучать круто - но в реальность сеть как быть дерьмо так он и оставаться как абонент го 
negative,negative,@_beeline_kz не работать 3g астана когда восстанавливать работа 
positive,positive,@beeline_rus хорошо спасибо 
negative,negative,билайн где весь интернет гневный смс 
negative,negative,@_beeline_kz не работать интернет дома логин 0010117710 спасибо 
negative,positive,love is forever (3g @beeline_rus) спасибо билайн что улучшать свой сеть http://tco/4dm5yvehbt 
positive,negative,@beeline_rus как избавляться от поток смс спам 
negative,negative,билайн — глючной гавно заколебать со свой квест по телефон: если вы натурал нажимать 1 если любитель животное — 2 
negative,negative,что за неведомый смс-хрень я волна прибивать на симка #билайн http://tco/l6cdn13ml3 
positive,positive, @shatilin: билайн надирать все задок предлагать интернет в международный роуминг по 5 рубль за мегабайт #пораваливать 
negative,negative,@sergeevnadarya связь плохой по какой-то определенный адрес или везде где вы бывать #билайн 
negative,negative,билайн- жить на яркий сторона чуть-чуть в тень- уже не ловить 
negative,negative,только что эмпирически быть установленный биллинг билайн обсчитывать сотовый клиент порядок час начинать с полночь 
negative,negative, @fopajizys: только что эмпирически быть установленный биллинг билайн обсчитывать сотовый клиент порядок час начинать с полночь 
negative,negative, @otutuxuhal: — безлимитный интернет от билайн если пользоваться быть внимательный следить за состояние свой счет я если чес 
negative,negative,@beeline_rus вы охренеть в 215 ночь присылать смс с напоминание что-то там оплачивать чтоб вы так спокойно спать 
negative,negative,посему дорогой #билайн сей констатировать что ты мудак и желать ты в сон фредди крюгер с ректальный канделябр аминь 
negative,positive, @porutchyk: @alex_shvarz  вот я быть в великий новгород год два назад там у билайн оказываться самый выгодный инет тариф для usb модем 
positive,positive,потрясать реклама от #билайн http://tco/yz9hkdszai #сотовый связь http://tco/tsgoh0ncia 
positive,positive,потрясать реклама от #билайн http://tco/rxaiscs0d6 #сотовый связь http://tco/gkwl92e9cp 
positive,positive,потрясать реклама от #билайн http://tco/4pqhwblpey #сотовый связь http://tco/dtbodkzvkn 
positive,positive,потрясать реклама от билайн http://tco/j7vhfwmb2e 
positive,negative, @iwujezemiv: долой реклама от билайн — 
negative,negative,ох билайновский модем зае*алый 
negative,negative,#мегафон-не работать #билайн-не работать #мтс-красавец 
negative,negative,на этот раз на глаз антимонопольный попадаться вымпелком с его рекламный ролик для тв 
negative,negative,сосать самый подходящий слово для компания билаин так зависать мочь только они #черт #инет #горько 
negative,negative,блядский пидорский билайн извинять но нет сила 
negative,negative,@_beeline_kz теперь у я вообще на сотка интернет нет зашибаться 
positive,positive,в воронеж мобильный трафик билайн вырастать более чем в два раз 
negative,negative,билайн один ебать по график-другой по траффикуиногда умудряться-одновременно 
negative,positive,@niktta я тут померить скорость интернет на мега и на билайн результат в два раз не в польза мегафон http://tco/dcsf7hz1bf 
negative,negative, @kainbek: чят у кто еще билайн-модем тормозить подряд третий день ~~~ билайн янг йилга тайергарлик куряпти (оптимизация сеть) 
negative,positive, @_beeline_kz: а знать ли вы что клиент интернет дома от beeline иметь отличный шанс выигрывать путевка на двое в таиланд:) https:// 
positive,positive,билайн понижать тариф на интернет в европейский роуминг #news 
positive,positive,@beeline_rus  надаривать календарик :) http://tco/g6yrtd0we4 
positive,positive,#beelinegift удача в новый год вы - хороший оператор 
positive,positive,билайн предлагать год бесконечный интернет и айфон впридачу 
positive,positive,украинский beeline увеличивать пропускной способность магистральный сеть 
negative,negative,@_beeline_kz звонить вчера чтобы выяснять откл мой # интернет на год обещать звонить и выяснивать за сегодня так никто и не отзвониться 
negative,positive,&amp;quot;билайн&amp;quot; снижать цена на мобильный интернет в европа и снг 
negative,negative,жесть дом билайн еле ловить мой новый номер в питер - 89052144666 
negative,negative,@beeline_rus специалист сказать уда о не возможность переход но новый тариф 
negative,positive,я понравиться видео горячий линия билайн и лиза алерт получать 
negative,negative,билайн в метро похоже работать исключительно на оранжевый ветка 
negative,negative,билайн вы заипать со свой у вы еще быть шанс выигрывать 10 млн засовывать они себя в оффшор 
negative,negative,@billie_idle_ @bloodystupidme хорошо сразу мегафон мой интернет билайн не обновляться даже твиттер 
negative,positive, @domanep: в этот год реклама билайн много трогать душучий реклама кока-колыкоторой так ждать 
negative,negative,@beeline_rus сегодня подключать симномер активация баланс опять неверный на конверт *110*1111# дилер лень исправлять или как 
negative,positive,в этот год реклама билайн просто сам очарование)) создавать новогодний атмосфера)) #новыйгоды 
negative,negative,@beeline_rus даже гугл нельзя пользоваться http://tco/0l1gjvxjou 
negative,negative,жаль в этот год @_beeline_kz не раздавать модем wi-fi при подключение как тот год быть переходить на idnet @telecomkz 
negative,positive,@fedorevdokimov @bloodystupidme @mr_beefs @billie_idle_ так вот билайн у я всегда работать и как я удивляться что мегафон не мочь ( 
negative,negative,и кстати  билайн и мегафон пинок за спам который якобы отключать 
negative,negative,@beeline ну что с ты такой то интернет не работать а теперь и сей-карта отказываться активироваться сказать ждать сутки  (что) 
negative,negative,хахах поддержка @beeline_rus  на вопрос как проверять баланс на ipad предлагать позвонить с айпад на номер 0697 
negative,negative,в 101ый раз  приходить смс что у я быть огромный шанс выйгрывать 10 миллион рубль  от билайн 
negative,negative, @dentereschenkov: мудацкий #билайн   (извинять конечно) 
negative,negative,ух как я зола как я злой перехваливать билайн:размагничиваться второй симкадом интернет нет план к черт:отвечать с телефон неудобно 
negative,negative,@_beeline_kz красавец ппошлва выходной и праздник оставлять я без интернет решать и этот уикенд я испортить 
negative,negative,надеяться весь детишки ложиться спать билайнкакого хутор ты снимать и снимать со счет деньги 
negative,negative,блять ну вот это что #beeline  вы когда-нить допиливать свой личный кабинет http://tco/l8l8flj2ff 
positive,positive,любить билайн - не терять марка 
negative,negative,@beeline_rus ребята почему скорость мобильный интернет сильно порезанный не больше 75 kb/s хотя рано до 22 mb/s быть +79633071770 
positive,negative,совсем печальный мобильный интернет у @_beeline_kz в меге2 телефон совсем новый 
positive,negative,по клика в браузер билайн любезно сообщать говносайт мобильный номер абонент чтобы тот подписывать абонент на платный услуга прекрасно 
positive,negative, @meowthsli: по клика в браузер билайн любезно сообщать говносайт мобильный номер абонент чтобы тот подписывать абонент на платный усла 
negative,negative,у билайн проблема и не досматривать род - аякса(но радчто победилиписывать с айфон 
negative,negative, @ottenki_serogo: @pearler15 билайн уже не подниматься в мой глаз 
negative,negative,вот я щас смс пришластрого там от билайн четоаж проверять не хотеть 
negative,negative,фризби в подарок от билайн за то что убеждать другой что 4g у билайн ужасный http://tco/29juhvhwzz 
negative,negative,@beeline_rus  когда lte уже быть работать в лен область и спб 
negative,negative,# часть абонент билайн оставаться без связь на юг россия 
negative,positive,#билайн радовать по покрытие непосредственно в сам город но #мтс за город иметь приемущество 
positive,positive, @blizarovo: в калининград после запуск 4g от билайн трафик вырастать на треть 
negative,negative,билайн - кидалый советовать все сделать распечатка баланс за неделя в личный кабинет если быть видео-портал значит билайн вы поиметь  
negative,negative,о #билайн начинать при приближение баланс к ноль сам брать деньги с мой карта билайн а в роуминг ты такой же охуевать быть 
negative,negative,бесить билайн конкретно московский симка даже в ростовский область в раз () хорошо сеть ловить чем в москва 
negative,positive,прилетать 100 руб спасибо @beeline_rus за презент) #beelinegift 
positive,positive,#rufollowback билайн удваивать скорость мобильный интернет в петербург #читаювзаимно 
negative,negative,куда уходить баланс мы что платный инстаграм или твиттерааа идти в билайн злой  
negative,negative, @agabekovd: @_beeline_kz у вы какой-то проблема с сеть интернет уже третий час не работать 
negative,negative,- билайн пидорс дубль два 
negative,negative,@beeline_rus не мочь совершать исходить вызов так же не проходить входить после приходить смс и проблема не у я один сегодня 
positive,positive, @krox9078: #rufollowback билайн удваивать скорость мобильный интернет в петербург #читаювзаимно 
negative,negative,а можно каждый день писать что билайн гавно и это быть правда 
negative,positive, @ms_elochka: я сдаваться и переходить после нга на #билайн сохранять старый номерибо мтс интернет жутко лютыйпричем в любой точка город 
negative,negative,@beeline_rus просто от юго-западный до фрузенский у я показывать доступность эджпервый твит я оттуда еле отправлять:) 
negative,positive,@beeline_rus большой спасибо вопрос исчерпывать 
negative,negative,@_beeline_kz при это ни акт ни блокирование сумма не происходить и даже весь сумма не обещать вернуть 
positive,positive,билайн увеличивать скорость мобильный интернет в санкт-петербург http://tco/bxzdol0qhk 
negative,negative,@beeline_rus @network228 господин сеть lte не пропускать голосовой трафик при поступление вызов телефон автоматически переходить 2g/3g 
positive,positive, @alteefasi: вымпелком в 6 раз снижать тариф на международный интернет-роуминг 
positive,positive,билайн первое из большой тройка подключать абонент к google apps 
positive,positive,билайн первое из большой тройка подключать абонент к google apps http://tco/jckqxmtssn 
positive,positive,билайн первое из большой тройка подключать абонент к google apps http://tco/bdphyom5tj 
positive,positive,билайн удваивать скорость мобильный интернет))) 
positive,positive,@knight4539 ууууаааа обожать :о из реклама билайн 
negative,negative,@beeline_rus о вот вы воврать ) я использовать мобильный )  но в инет не мочь зайти тк выход в инет 30 руб хотя такой не быть ( 
negative,negative,@beeline_rus на счет ложить 150 руб  но после то как выходить в инет  сразу же снялм весь деньги( 
negative,negative,она билайнкапец&amp;#3 http://tco/5mpdesujgo 
negative,negative,@beeline_rus сложность постоянно вообще пропадать интернет и “лечиться” только перезагрузка телефон город белореченск 
positive,positive,билайн удваивать скорость мобильный интернет 
negative,positive,#билайн сделать мы приятный подарок называть лошадка яша) http://tco/euxvj6zbyo 
negative,negative, @guglyaira: билайн совсем офигеть 
positive,positive,с запуск 4g общий трафик в сеть билайн в калининград вырастать на треть http://tco/gwwqsd8sej #mobile_review 
negative,negative,@beeline_rus тот за полгода ничто не изменяться как я тогда не мочь называть срок установка так и сейчас… #mnp 
negative,positive,@ru_mts мтс не работать вечно вне зона доступ связь постоянно прерываться весь семья переводить на билайн 
positive,positive,билайн первое из большой тройка подключать абонент к google apps http://tco/bk5qodkmpr 
negative,negative,смс спам задолбать на @beeline_rus в день по пять смс приходить если не мало 
negative,negative,вообще билайн что то разочаровывать на тариф все включать подымать абон плата при это пакет минута расходоваться быстро 
positive,positive,@_the_elf_ @beeline_rus спасибо 
negative,negative,и так сбербанкпочта россииспсрбилайн мой персональный ад 
positive,negative,компания ucell и билайн нужно поставлять памятникдаж самый наворотить мобил учиться терпеливость от тормозной интернет:d 
positive,positive, @_beeline_kz: друг теперь житель петропавловск доступный интернет в общественный транспорт :) https://tco/riclyxbowm http://tco/ 
negative,positive,@dark_dez @lexx_balbeska переходить на билайн который ловить в метро 
negative,positive,@mortourum личный кабинет становиться намного хороший легко находить нужный раздел все удобно и понятно самый необходимый- всегда под рука#билайн 
negative,negative,@beeline_rus не сказать что со связь iphone писать нет сеть в москва в р-н рижский 
positive,positive,# @svkolosova_: google apps уже доступный корпоративный клиент билайн 
positive,positive,google apps уже доступный корпоративный клиент билайн 
negative,negative,ахах билайн весь время чинить не тот труба зачеммнеэтаинформация хочутишиныипокой 
negative,negative,@beeline_rus первый раз такой рано или работать билайн или нет но что бы вот такой срывыудивлять уходить в мегафон после 10 год 
negative,negative,доверительный платеж в 15 рубль у пчелайн - это уже жлобство 
positive,negative,@beeline_rus @beeline упырь  отвечать на запрос 
negative,negative,а еще вроде у этот дебил билайн др ну он-то я и нахуй не сваливаться 
positive,positive,#новость облачный сервис google apps становиться доступный для корпоративный клиент билайн #околокомпьютерный 
negative,negative,@beeline_rus я приходить попросить информация и вы я давать ложный информация это как пониматьотказывать в предоставление услуга 
positive,positive,прибыль вымпелком в i полугодие вырастать на 17% - до 3724 млрд руб: чистый прибыль оао вымпелком (входить в vimpelcom ltd) в первый 
negative,negative, @denmakarenko: билайн уже какой раз сообщать что я выйграл 10 миллион рубль я миллионер епт 
positive,negative, @tengrinewskz: недовольный клиент заминировать филиал beeline в караганда http://tco/ijgexapxgy 
negative,positive,спасибо @beeline_omsk за поддержка а @rostelekom пусть гореть в ад 
negative,positive,#билайн пожелать счастие любить он ♥ 
positive,positive,мы разогнаться: компания билайн подводить итог год и рассказывать в очень дружеский обстановка об улучшение  http://tco/p8buehyeex 
negative,positive, @etomoe: с мтс после уход в минус приходиться постоянно перезагружать iphone что бы 3g вернуть с интернет с билайн этот лишний момент 
negative,negative,@nikitosina89 @beeline_rus лушче сказать почему этот тупой пчела снимать по 30р за минута когда я в мск находиться жлоб 
negative,negative,@beeline_rus интернет по прежний не грузить #печально #билайн 
positive,negative,недовольный клиент вчера вечер  заминировать филиал beeline в караганда http://tco/ycnbuuruqv 
negative,positive,какой #beeline хороший хоть что-то радовать) http://tco/wtujqo4x5w 
negative,negative,ну и сеть( в метро у #билайн только #gprs а на площадь 3г не всегда @ билайн http://tco/i6dptgzhqu 
negative,negative,@steam_akk_ru @beeline_rus и только  а остаток смс и ммс не показывать 
negative,positive,@beeline_rus спасибо за помощь я на олимпийский проспект 14 где тут можно симкарта взять в шаговый доступность 
negative,positive,@claymachinegun @fedya_rat да ты шутить у билайн идеальный поддержка а у мегафон оператор хуйло сплошной а дозваниваться нереально 
negative,negative,@beeline_rus я являться пользователь домашний интернет уже год три  почему у мы нет возможность переходить на новый тариф 
negative,negative, @sereje4ga: @beeline_rus друг что у вы со связь в центр екатеринбургапочий она нет 
negative,negative,@beeline_rus смысл я уж хорошо тогда другой провайдер находить давно хотеть теперь хоть смысл быть 
negative,positive,я нравиться новогодний реклама билайн 
positive,positive,3g модем  билайн - приятный цена достойный подарок к новый год: в преддверие новый год над выбор дос http://tco/iriqv1tg2u 
negative,negative,что за хуйня @beeline_rus ебанат связь прерывистый а через edge вообще хуйня не слышно нихуиязаебаться 
negative,positive, @arist_brain: у @beeline_rus все в порядок с креатив отличный ролик с настроение  http://tco/m7lznjjpyt 
positive,positive,спасибо билайн http://tco/qzs4cxll87 
negative,negative,очень разочаровываться в @beeline_rus как в домашнемтак и в мобильномрасхождение в оплата мобильногон сайт один сумма списывать много 
positive,positive,@beeline_rus спасибо огромный теперь связь попрежнему улучшаться 
negative,negative,@beeline_rus сколько можно тянуть с я деньги за полгода назад заблокировать номер это уже сильно попахивать надувательство 
negative,negative,билайн давать мой номер не понимать кто как узнавать теперь я чей это номер я уже и забывать что услуга то этот быть у я сообщать мой номер 
negative,positive,@beeline_rus благодарить ( #мтс - вы до билайн как до луна пешком учиться) 
positive,positive,спасибо билайн http://tco/o2mk9r7trj 
positive,positive,безлимитный ночной интернет beeline становиться в 2 раз дешево до конец зима - http://tco/nsvttdplyj #uzb 
negative,negative, @korobkov: билайн ты не отправлять мой смска потому что я черный 
negative,positive,#билайн присылать мы в офис дед мороз со снегурочка и передавать подарочек http://tco/bthnhms0pn 
negative,negative,билайн совсем ахренеть за кредит вводить платеж за быть в курс абонплата в жопа он 
negative,negative, @hilolab: @beeline_uz ответ специалист служба поддержка я так и не дождаться http://tco/igoz4jydsu 
negative,positive,светлак поздравлять как президент: хороший новогодний кампания в этот год представлять билайн и contrapunto http://tco/9cavenne15 
negative,negative,интересно а билайн на суша тупить так же как и под вода ((( 
negative,positive,@beeline_rus спасибо большой :3 
negative,positive, @toqozevubem: понравиться как билайновский оператор оформлять мой заявка с такой же энтузиазм я стримовский оператор объяснять дет 
negative,negative,@beeline_rus добрый вечер такой вопрос: подключать баланс на экран но он не показываться 
negative,positive,@beeline_rus помощь ваш оператор становиться намного быстро и качественный  удивлять обращаться несколько раз -много пять минута не ждать  
positive,positive,спасибок билайн) http://tco/nha2fpwbi2 
negative,negative,чмо ебаный сука я хотеть чтобы весь компания билайн взлетать блять 
negative,negative,крутой у ты билайн никогда ты я не слышать 
negative,positive,@domru_ через 3g билайн файл загружаться быстро примерно в 4 раз 
negative,positive,вчера купить симка билайн lte поймать сразу же тушино http://tco/agcor68a1j 
negative,negative,какой замечательный оператор #билайнпишетчто представлять я возможность звонить бесплатно на билайн-москва 24112013 когда уже декабрь 
positive,positive,я любить билайн ^^ http://tco/hukmd8xu7n 
negative,positive,билайн поздравлять в новый год любить он &lt;3 
negative,positive,билайн любить я много чем остальной http://tco/uejysfjadm 
positive,positive,мобильный интернет от билайн в 2013 год становиться для житель рязанский область в три раз быстро 
negative,positive,я поздравлять с новый год билайн любить он 
positive,positive,#ryazan #rzn мобильный интернет от билайн в 2013 год становиться для житель рязанский область в три раз быстро http://tco/eccgyd2r3g 
negative,positive,так приятно когда ты поздравлять билайн :з 
negative,positive,она:* я тоже билайн с новый год поздравлять:з любимый:з 
negative,negative,как боротся с билайн если весь решение сводиться к отписка спасибоваш сообщение очень важный для мы 
negative,negative,билайн конечно логичный как никогдау я не работать интернетный они писать я в твиттер 
negative,positive, @zaglubotskaya: ехать в троллейбус с вай-фай #билайн в такой даже пробка быть не страшный) 
negative,positive,а по тариф должно быть до час ночь 20/20 с час до 9 40/40 видимо мы билайн решать побаловать передо нга увеличивать скорость почти на 10)) 
negative,negative,@beeline_rus отключать гребаный хайвей 3гб на номер 89050512109  ибо ваш личный кабинет загонять я в могила 
positive,positive, @sletten23600: чистый прибыль вымпелком по рсба вырастать за 9 месяц на 15% до 484 млрд рубль 
negative,negative,билайн сп*здило у я номер телефон односторонний разрыв контракт по причина длительный неиспользование номер http://tco/7l1x9ga51g 
negative,positive,это просто анриал я в 7 раз за этот месяц билайн зачислять 50 рубль 
negative,positive,@irina_katel я билайн виделн там прямой офигенный реклама 
negative,positive,http://tco/2lzbtf8zdw по настоящий крутой реклама от билайн 
negative,positive,билайн с нга поздравлять шик 
negative,positive,только мой любимый билайн поздравлять я с новый год и пожелать я чтобы мой новый год быть замечательный ты настоящий друг 
negative,negative,@fuckin_sadness я даже билайн с нга не поздравлять пойти застреливаться что ли 
negative,negative, @chistolenta: поиск билет на сайт ржд не работать яндекс-почта не открываться билайн не пополнять баланс волна корпоратив прокат 
negative,positive,спасибо милый #beeline http://tco/jnxpj7t5ea 
negative,negative,у я к тот момент еще и телефон тупануть и не переходить с велком на билайн и я даже позвонить никто не мочь 
positive,positive,милость от билайн :3 http://tco/velas3fjrc 
positive,negative,за год @beeline_rus честно спиздить 6 день домашний интернет ибо в их месяц 30 день жадный пидорас кто-то премия получать наверно 
negative,negative,билайн-интернет сегодня тупить по страшный ((( 
negative,positive,@beeline_rus поздравлять я с 2014 год :3 это так милый с: спасибо 
negative,negative,да у я с вайфай только такой все у кто билайн и вы если надо в метро планировать свой поездка по сокольнический линия 
positive,positive,спасибо любимый билайн:dd http://tco/kcanseipsy 
negative,negative,после угроза воришка из билайн решать принципиально забирать у они номер к другой оператор даже если и не быть потом они пользоваться 
negative,negative,слушать чем много пользоваться #билайн тем много хотеться переходить на #мегафон с сохранение номер такой вот печалька 
negative,positive,я седний билайн с нга поздравлять с:  #спасибомойлюбимый 
negative,positive, @dr_dr_dj: я седний билайн с нга поздравлять с:  #спасибомойлюбимый 
negative,positive,@leon_nikitashin пфф в мтс мудак не поздравлять даже а если поздравлять то не от сердце как билайн 
negative,positive,-я вот в россия звонить с билайна10 копа/мина совсем дешево  -а я по скайп болтать со всемиочень удобно  (с) продвигать бабка в автобус 
negative,positive,билайн пока что единственныйкто поздравлять я с новый год и что-то пожелать  забавно 
negative,negative,такса на активация #imessage через @beeline_rus я уже потратить 65 руб эффект ноль смс отправляться но обратно не приходить wtf 
positive,positive,от весь сердце #билайн http://tco/unfmmjh8ku 
negative,negative,#stuffing билайн - унылый хуйня я никогда не сомневаться 
negative,positive,получать первый поздравление с наступать нга -- от билайн уииии билайн я ты любить &lt;3 
negative,negative,@beeline_rus вот вы скриншот http://tco/e5h9snwkgt еще раз — на какой основание блокировать факт же блокировка на лицо 
positive,negative,@jw_org_ru @beeline_rus блокировать ваш сайт официальный сайт https://tco/il886hqjvw 
negative,positive,по я так этот зима реклама билайн хорошо чем кол) 
negative,positive,охбилайнт один слать я смс и поздравлять с праздник я быть хранить ты преданность и любовь вечно я твой навекисвет око мой 
negative,negative,забывать пароль от личной кабинет проводной @beeline_rus сайт восстанавливать не давать робот в телефон не знать мой контактный номер дебил 
negative,negative, @poliness_: @ptichkinaaaaa парень из билайн ничто путный не сказать 
negative,negative,@lovidzen аня а че с билайн не так 
negative,positive,и такой же ощущение у я здесь с билайн это как мегафон в питер интернет летать) 
negative,positive,надо мама попросить симка купить хотеть билайн кто пользоваться как вы #билайн 
negative,positive,от билайн с нга  ахах http://tco/6mo8zmcb7q 
negative,positive,@arina205000 @state_dias и билайн и мтс работать) 
negative,positive,сегодня опять пойти за новый номер хотеть на билайн 
negative,positive, @atlonbuyper: билайн решать я поздравлять с день рождение на день рано быть первый:d 
negative,positive, @keisi_keisi: в игра кто написать первый у я часто все выигрывать билайн 
negative,positive,пока что с новый год я поздравлять мой любимый пони и билайн :ddddd 
negative,positive,@kamee_kamee но с билайн же заходить 
positive,positive,спасибо билайн http://tco/8ggohwobva 
negative,positive,и тут я пожалеть что у я мтс вк работать на билайн 
negative,negative,@beeline_rus приходить ответ по который оставаться только посылать ваш пидорский контора нахуй 
positive,positive,через билайновский мобинет вк работаетоо 
positive,positive,мтс динамит с vk ахуенно перкходить на билайн 
negative,negative,@alt_77 @beeline_rus уже послалинаписаличто ограничение нет и вообще отрубать инетвыдавать ошибка 619 с новый годомназываться( 
negative,positive,такой домашний атмосфера преждевременный подарочек так приятно )) и поздравление от билайн как мило ) 
negative,negative,8 год быть абонент билайнаверный терпеть ихвчера терпение лопнуть-сегодня(впервые в жизнь)купить симка мегафонатакий дело 
negative,negative,@beeline_rus заблокировать номер  который пользоваться 9 год как почему на какой основание никакой уважение к старый клиент 
